hotel_name,company_id,password,email,address,No_of_Rooms,parkingBool
Hilton: Kerala,HOT001,jnffmm4b,Hilton-Kerala@gmail.com,"Market Road, Sunni Nagar, Taliparamba, Kannur district, Kerala, 670502, India",14,1
Hilton: Rajasthan,HOT001,1yfbbkrv,Hilton-Rajasthan@gmail.com,"Aklera, Aklera Tehsil, Jhalawar, Rajasthan, 326033, India",5,0
Hilton: Andhra Pradesh,HOT001,2upzhljl,Hilton-Andhra_Pradesh@gmail.com,"Yelamanchili - Gajuwaka Road, Kotta Sheikillapalem, Elamanchilli, Yelamanchili Mandal, Visakhapatnam, Andhra Pradesh, 531055, India",8,1
Hilton: Chhattisgarh,HOT001,klr93rrw,Hilton-Chhattisgarh@gmail.com,"Jashpurnagar, Jashpur Tahsil, Jashpur, Chhattisgarh, 496331, India",13,0
Hilton: Himachal Pradesh,HOT001,o5bruhh3,Hilton-Himachal_Pradesh@gmail.com,"State Bank of India, Chamba Road, Chamba, Himachal Pradesh, 176310, India",6,0
Hilton: Punjab,HOT001,9wbdyqp1,Hilton-Punjab@gmail.com,"ODR3, Patti, Patti Tahsil, Tarn Taran, Punjab, 143416, India",8,0
Hilton: State,HOT001,tbr7xoet,Hilton-State@gmail.com,Address,9,0
Hilton: Uttar Pradesh,HOT001,fpk4ubiu,Hilton-Uttar_Pradesh@gmail.com,"Dhanaura, Jyotiba Phule Nagar, Uttar Pradesh, 244231, India",12,0
Hilton: West Bengal,HOT001,veif0tbe,Hilton-West_Bengal@gmail.com,"Ranaghat, Ranaghat - II, Nadia, West Bengal, 741200, India",7,0
Hilton: Uttarakhand,HOT001,5xe7pgkd,Hilton-Uttarakhand@gmail.com,"Kashipur, Udham Singh Nagar, Uttarakhand, 244713, India",10,1
Hyatt: Goa,HOT002,28n65qx6,Hyatt-Goa@gmail.com,"Calangute Beach, Calangute Baga Road, Dongarpur, Calangute, Bardez, North Goa, Goa, 403516, India",14,1
Hyatt: Assam,HOT002,ypo4mn0x,Hyatt-Assam@gmail.com,"Barpeta, Assam, 781300, India",5,0
Hyatt: Madhya Pradesh,HOT002,5ovzdobh,Hyatt-Madhya_Pradesh@gmail.com,"Shivpuri Tahsil, Shivpuri district, Madhya Pradesh, 473880, India",12,0
Hyatt: Puducherry,HOT002,srus11xb,Hyatt-Puducherry@gmail.com,"World of Waffles, 46, Needarajapayar Street, Bharathipuram, Grand Bazaar, Puducherry, Puducherry Taluk, Puducherry district, Puducherry, 605001, India",7,0
Hyatt: Tamil Nadu,HOT002,amj13yjv,Hyatt-Tamil_Nadu@gmail.com,"Kangeyam Bus stand, Durgaiamman Kovil Street, Kangeyam, Tiruppur, Tamil Nadu, 638701, India",15,1
Hyatt: Jammu and Kashmir,HOT002,usyuvxx9,Hyatt-Jammu_and_Kashmir@gmail.com,"Rajouri, Rajauri, Jammu and Kashmir, 185131, India",8,1
Hyatt: Bihar,HOT002,cbgbatbr,Hyatt-Bihar@gmail.com,"Madhepura, Bihar, 852113, India",12,0
Hyatt: Maharashtra,HOT002,p6uf81cq,Hyatt-Maharashtra@gmail.com,"KDMC HOSP 2 Shastrinagar General Hospital Dombivli, Kopar Road, Railway Colony, Kopar, Dombivali, Kalyan, Thane, Maharashtra, 421202, India",5,1
Hyatt: Telangana,HOT002,26zgqpws,Hyatt-Telangana@gmail.com,"Central Bank Colny, Ward 12 Mansoorabad, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Saroornagar mandal, Rangareddy, Telangana, 500074, India",6,0
Hyatt: Karnataka,HOT002,otld5o8f,Hyatt-Karnataka@gmail.com,"Anekonda, K.B. Extension, Davanagere, Davanagere taluku, Davanagere district, Karnataka, 577000, India",14,0
Hyatt: Gujarat,HOT002,86ep8lzq,Hyatt-Gujarat@gmail.com,"Gariadhar, Gariadhar Taluka, Bhavnagar District, Gujarat, 364505, India",11,0
Hyatt: Odisha,HOT002,ixwflhul,Hyatt-Odisha@gmail.com,"Sambalpur, Sambalpur (M), Sambalpur, Odisha, 768001, India",15,0
Hyatt: Kerala,HOT002,rdbofhpj,Hyatt-Kerala@gmail.com,"Platform 1, Civil Station Road, S N Puram, Aluva, Ernakulam, Kerala, 683108, India",15,1
Hyatt: Rajasthan,HOT002,h6d9c6ov,Hyatt-Rajasthan@gmail.com,"Aklera, Aklera Tehsil, Jhalawar, Rajasthan, 326033, India",10,1
Hyatt: Andhra Pradesh,HOT002,68rz18fb,Hyatt-Andhra_Pradesh@gmail.com,"Yelamanchili - Gajuwaka Road, Kotta Sheikillapalem, Elamanchilli, Yelamanchili Mandal, Visakhapatnam, Andhra Pradesh, 531055, India",15,0
Hyatt: Chhattisgarh,HOT002,y8ywgp3x,Hyatt-Chhattisgarh@gmail.com,"Jashpurnagar, Jashpur Tahsil, Jashpur, Chhattisgarh, 496331, India",14,0
Hyatt: Himachal Pradesh,HOT002,i1kues19,Hyatt-Himachal_Pradesh@gmail.com,"State Bank of India, Chamba Road, Chamba, Himachal Pradesh, 176310, India",9,0
Hyatt: Punjab,HOT002,cfnvp83x,Hyatt-Punjab@gmail.com,"Moga, Moga Tahsil, Moga, Punjab, 142001, India",7,1
Hyatt: State,HOT002,1rybjq9k,Hyatt-State@gmail.com,Address,11,0
Hyatt: Uttar Pradesh,HOT002,nbuf494l,Hyatt-Uttar_Pradesh@gmail.com,"Dhanaura, Jyotiba Phule Nagar, Uttar Pradesh, 244231, India",6,0
Hyatt: West Bengal,HOT002,srgy9o81,Hyatt-West_Bengal@gmail.com,"Karl Marx Sarani, Fort Gloster, Budge Budge - I, South 24 Parganas, West Bengal, 711315, India",14,0
Hyatt: Uttarakhand,HOT002,7xn456py,Hyatt-Uttarakhand@gmail.com,"Haldwani, Nainital, Uttarakhand, 263139, India",9,1
Marriott: Goa,HOT003,xepr2k46,Marriott-Goa@gmail.com,"Calangute Beach, Calangute Baga Road, Dongarpur, Calangute, Bardez, North Goa, Goa, 403516, India",13,0
Marriott: Assam,HOT003,s3ew3afr,Marriott-Assam@gmail.com,"Barpeta, Assam, 781300, India",10,1
Marriott: Madhya Pradesh,HOT003,uxdb8umm,Marriott-Madhya_Pradesh@gmail.com,"Shivpuri Tahsil, Shivpuri district, Madhya Pradesh, 473880, India",14,1
Marriott: Puducherry,HOT003,tpjc7ccq,Marriott-Puducherry@gmail.com,"World of Waffles, 46, Needarajapayar Street, Bharathipuram, Grand Bazaar, Puducherry, Puducherry Taluk, Puducherry district, Puducherry, 605001, India",11,1
Marriott: Tamil Nadu,HOT003,l66lbqfn,Marriott-Tamil_Nadu@gmail.com,"Satyamangalam, Sathyamangalam, Erode district, Tamil Nadu, 638401, India",15,0
Marriott: Jammu and Kashmir,HOT003,7frsvsme,Marriott-Jammu_and_Kashmir@gmail.com,"Karan Nagar, Srinagar, Srinagar (South), Srinagar, Jammu and Kashmir, 190010, India",15,1
Marriott: Bihar,HOT003,z9fvperk,Marriott-Bihar@gmail.com,"Supaul, Bihar, 852131, India",11,1
Marriott: Maharashtra,HOT003,t3298r7c,Marriott-Maharashtra@gmail.com,"Shaniwarwada, Shivaji Road, Kasba Peth, Pune, Pune City, Pune, Maharashtra, 411001, India",6,1
Marriott: Telangana,HOT003,4yvom3z6,Marriott-Telangana@gmail.com,"Central Bank Colny, Ward 12 Mansoorabad, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Saroornagar mandal, Rangareddy, Telangana, 500074, India",10,1
Marriott: Karnataka,HOT003,bqd299ua,Marriott-Karnataka@gmail.com,"Sumathi Nagar, Robertsonpet, Kolar Gold Fields, Bangarapet taluk, Kolar district, Karnataka, 563115, India",13,1
Marriott: Gujarat,HOT003,u3oc4ijx,Marriott-Gujarat@gmail.com,"Savar Kundla, Kundla, Savar Kundla Taluka, Amreli District, Gujarat, 364515, India",6,0
Marriott: Odisha,HOT003,1c4d3sg8,Marriott-Odisha@gmail.com,"Sambalpur, Sambalpur (M), Sambalpur, Odisha, 768001, India",8,1
Marriott: Kerala,HOT003,f891csre,Marriott-Kerala@gmail.com,"Platform 1, Civil Station Road, S N Puram, Aluva, Ernakulam, Kerala, 683108, India",13,0
Marriott: Rajasthan,HOT003,berwgmy2,Marriott-Rajasthan@gmail.com,"MDR7, Deoli Cantonment, Deoli, Deoli Tehsil, Tonk, Rajasthan, 323802, India",7,1
Marriott: Andhra Pradesh,HOT003,mtzmj4wn,Marriott-Andhra_Pradesh@gmail.com,"Yelamanchili - Gajuwaka Road, Kotta Sheikillapalem, Elamanchilli, Yelamanchili Mandal, Visakhapatnam, Andhra Pradesh, 531055, India",14,1
Marriott: Chhattisgarh,HOT003,exhraw9m,Marriott-Chhattisgarh@gmail.com,"Jashpurnagar, Jashpur Tahsil, Jashpur, Chhattisgarh, 496331, India",7,1
Marriott: Himachal Pradesh,HOT003,5r613ym2,Marriott-Himachal_Pradesh@gmail.com,"State Bank of India, Chamba Road, Chamba, Himachal Pradesh, 176310, India",12,0
Marriott: Punjab,HOT003,wm6lrahh,Marriott-Punjab@gmail.com,"ODR3, Patti, Patti Tahsil, Tarn Taran, Punjab, 143416, India",10,0
Marriott: State,HOT003,zh3qvjes,Marriott-State@gmail.com,Address,10,0
Marriott: Uttar Pradesh,HOT003,2rtx1aiu,Marriott-Uttar_Pradesh@gmail.com,"Jais, Tiloi, Amethi, Uttar Pradesh, 229305, India",5,0
Marriott: West Bengal,HOT003,u8035j57,Marriott-West_Bengal@gmail.com,"Grand Trunk Road, Pandua, Hugli, West Bengal, 712149, India",5,1
Marriott: Uttarakhand,HOT003,x0kndmc5,Marriott-Uttarakhand@gmail.com,"Haldwani, Nainital, Uttarakhand, 263139, India",12,1
IHG: Goa,HOT004,dvkk57h2,IHG-Goa@gmail.com,"Calangute Beach, Calangute Baga Road, Dongarpur, Calangute, Bardez, North Goa, Goa, 403516, India",9,0
IHG: Assam,HOT004,o73f9x3n,IHG-Assam@gmail.com,"Barpeta, Assam, 781300, India",5,0
IHG: Madhya Pradesh,HOT004,p3bygepj,IHG-Madhya_Pradesh@gmail.com,"Shivpuri Tahsil, Shivpuri district, Madhya Pradesh, 473880, India",8,0
IHG: Puducherry,HOT004,2sop6p2y,IHG-Puducherry@gmail.com,"World of Waffles, 46, Needarajapayar Street, Bharathipuram, Grand Bazaar, Puducherry, Puducherry Taluk, Puducherry district, Puducherry, 605001, India",8,0
IHG: Tamil Nadu,HOT004,q6b3jdz2,IHG-Tamil_Nadu@gmail.com,"Periyakulam, Theni district, Tamil Nadu, 626500, India",13,1
IHG: Jammu and Kashmir,HOT004,jkwe8vp2,IHG-Jammu_and_Kashmir@gmail.com,"Karan Nagar, Srinagar, Srinagar (South), Srinagar, Jammu and Kashmir, 190010, India",15,0
IHG: Bihar,HOT004,cd50mosj,IHG-Bihar@gmail.com,"Madhepura, Bihar, 852113, India",15,1
IHG: Maharashtra,HOT004,yy4rah26,IHG-Maharashtra@gmail.com,"KDMC HOSP 2 Shastrinagar General Hospital Dombivli, Kopar Road, Railway Colony, Kopar, Dombivali, Kalyan, Thane, Maharashtra, 421202, India",12,1
IHG: Telangana,HOT004,ep2ru3en,IHG-Telangana@gmail.com,"Central Bank Colny, Ward 12 Mansoorabad, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Saroornagar mandal, Rangareddy, Telangana, 500074, India",13,1
IHG: Karnataka,HOT004,siz6y38e,IHG-Karnataka@gmail.com,"Sumathi Nagar, Robertsonpet, Kolar Gold Fields, Bangarapet taluk, Kolar district, Karnataka, 563115, India",13,1
IHG: Gujarat,HOT004,9ozwptn7,IHG-Gujarat@gmail.com,"Kheda, Kheda Taluka, Kheda District, Gujarat, 387400, India",5,0
IHG: Odisha,HOT004,n3mi47su,IHG-Odisha@gmail.com,"Bhuban, Dhenkanal, Odisha, 759017, India",6,0
IHG: Kerala,HOT004,wv0dcefs,IHG-Kerala@gmail.com,"Sego Bakery, Tirur - Malappuram - Manjeri Road, Manjeri, Ernad, Malappuram, Kerala, 676121, India",9,1
IHG: Rajasthan,HOT004,un0xhktq,IHG-Rajasthan@gmail.com,"Sojat, Sojat Tehsil, Pali, Rajasthan, 306104, India",12,1
IHG: Andhra Pradesh,HOT004,gqlyso6s,IHG-Andhra_Pradesh@gmail.com,"Kalva - Bethamcherla - Banaganapalle Road, Bugganipalli Cement Nagar, Bethamcherla, Bethamcherla Mandal, Kurnool, Andhra Pradesh, India",12,0
IHG: Chhattisgarh,HOT004,9m12liqv,IHG-Chhattisgarh@gmail.com,"Jashpurnagar, Jashpur Tahsil, Jashpur, Chhattisgarh, 496331, India",5,1
IHG: Himachal Pradesh,HOT004,n5g5768z,IHG-Himachal_Pradesh@gmail.com,"State Bank of India, Chamba Road, Chamba, Himachal Pradesh, 176310, India",14,1
IHG: Punjab,HOT004,4zk8i5w3,IHG-Punjab@gmail.com,"ODR3, Patti, Patti Tahsil, Tarn Taran, Punjab, 143416, India",11,1
IHG: State,HOT004,2dgj758m,IHG-State@gmail.com,Address,9,1
IHG: Uttar Pradesh,HOT004,07cnxux8,IHG-Uttar_Pradesh@gmail.com,"Arya Nagar, Pilkhuwa, Dhaulana, Hapur, Uttar Pradesh, 245304, India",15,1
IHG: West Bengal,HOT004,a89w4z6d,IHG-West_Bengal@gmail.com,"SH5, Manbazar - I, Puruliya, West Bengal, 723131, India",6,1
IHG: Uttarakhand,HOT004,b2cboyg7,IHG-Uttarakhand@gmail.com,"Haldwani, Nainital, Uttarakhand, 263139, India",8,1
Wyndham: Goa,HOT005,shnlpwcx,Wyndham-Goa@gmail.com,"Calangute Beach, Calangute Baga Road, Dongarpur, Calangute, Bardez, North Goa, Goa, 403516, India",15,1
Wyndham: Assam,HOT005,4i2cklda,Wyndham-Assam@gmail.com,"Rangia, Rangia Pt, Kamrup, Assam, 781354, India",12,0
Wyndham: Madhya Pradesh,HOT005,4r129fea,Wyndham-Madhya_Pradesh@gmail.com,"Shivpuri Tahsil, Shivpuri district, Madhya Pradesh, 473880, India",7,0
Wyndham: Puducherry,HOT005,jzw491cu,Wyndham-Puducherry@gmail.com,"World of Waffles, 46, Needarajapayar Street, Bharathipuram, Grand Bazaar, Puducherry, Puducherry Taluk, Puducherry district, Puducherry, 605001, India",8,1
Wyndham: Tamil Nadu,HOT005,jsemofs3,Wyndham-Tamil_Nadu@gmail.com,"Periyakulam, Theni district, Tamil Nadu, 626500, India",12,0
Wyndham: Jammu and Kashmir,HOT005,b7nklb6q,Wyndham-Jammu_and_Kashmir@gmail.com,"Rajouri, Rajauri, Jammu and Kashmir, 185131, India",6,1
Wyndham: Bihar,HOT005,rsvghoq0,Wyndham-Bihar@gmail.com,"MDR, Teghra, Begusarai, Bihar, 851133, India",5,0
Wyndham: Maharashtra,HOT005,2wgoobq4,Wyndham-Maharashtra@gmail.com,"Parola, Jalgaon, Maharashtra, 425111, India",7,1
Wyndham: Telangana,HOT005,43bp4kf7,Wyndham-Telangana@gmail.com,"Central Bank Colny, Ward 12 Mansoorabad, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Saroornagar mandal, Rangareddy, Telangana, 500074, India",13,0
Wyndham: Karnataka,HOT005,0n06wpvj,Wyndham-Karnataka@gmail.com,"Anekonda, K.B. Extension, Davanagere, Davanagere taluku, Davanagere district, Karnataka, 577000, India",10,0
Wyndham: Gujarat,HOT005,zb40wzym,Wyndham-Gujarat@gmail.com,"Savar Kundla, Kundla, Savar Kundla Taluka, Amreli District, Gujarat, 364515, India",12,0
Wyndham: Odisha,HOT005,91wwsgvc,Wyndham-Odisha@gmail.com,"Sambalpur, Sambalpur (M), Sambalpur, Odisha, 768001, India",9,1
Wyndham: Kerala,HOT005,9wny8yhm,Wyndham-Kerala@gmail.com,"Sego Bakery, Tirur - Malappuram - Manjeri Road, Manjeri, Ernad, Malappuram, Kerala, 676121, India",13,0
Wyndham: Rajasthan,HOT005,rrp6qtod,Wyndham-Rajasthan@gmail.com,"MDR7, Deoli Cantonment, Deoli, Deoli Tehsil, Tonk, Rajasthan, 323802, India",6,1
Wyndham: Andhra Pradesh,HOT005,tz74lpy0,Wyndham-Andhra_Pradesh@gmail.com,"Yelamanchili - Gajuwaka Road, Kotta Sheikillapalem, Elamanchilli, Yelamanchili Mandal, Visakhapatnam, Andhra Pradesh, 531055, India",6,0
Wyndham: Chhattisgarh,HOT005,cmt7pt7f,Wyndham-Chhattisgarh@gmail.com,"Jashpurnagar, Jashpur Tahsil, Jashpur, Chhattisgarh, 496331, India",8,0
Wyndham: Himachal Pradesh,HOT005,o8ycsbr3,Wyndham-Himachal_Pradesh@gmail.com,"State Bank of India, Chamba Road, Chamba, Himachal Pradesh, 176310, India",13,1
Wyndham: Punjab,HOT005,2u3qbwyu,Wyndham-Punjab@gmail.com,"Malaut Pind, Malout Tahsil, Muktsar, Punjab, 152107, India",15,1
Wyndham: State,HOT005,tuewj1ry,Wyndham-State@gmail.com,Address,14,1
Wyndham: Uttar Pradesh,HOT005,lz5jgrvt,Wyndham-Uttar_Pradesh@gmail.com,"Arya Nagar, Pilkhuwa, Dhaulana, Hapur, Uttar Pradesh, 245304, India",9,0
Wyndham: West Bengal,HOT005,wpo22wj0,Wyndham-West_Bengal@gmail.com,"Grand Trunk Road, Pandua, Hugli, West Bengal, 712149, India",13,0
Wyndham: Uttarakhand,HOT005,j726fl5k,Wyndham-Uttarakhand@gmail.com,"Kashipur, Udham Singh Nagar, Uttarakhand, 244713, India",15,1
